video4_3.avi	[[9.89426795]]
video9_2.avi	[[11.5023393]]
video6_3.avi	[[10.2903415]]
video4_4.avi	[[9.04767115]]
video5_3.avi	[[10.64154779]]
video6_4.avi	[[10.21367165]]
video5_4.avi	[[10.96020989]]
video5_2.avi	[[11.90540301]]
video9_4.avi	[[10.15055659]]
video9_1.avi	[[9.32569113]]
video10_2.avi	[[12.37481443]]
video4_2.avi	[[12.08174978]]
video1_4.avi	[[11.79093113]]
video7_3.avi	[[9.51835422]]
video10_1.avi	[[12.39008646]]
video3_2.avi	[[12.52934462]]
video2_2.avi	[[12.19006731]]
video1_2.avi	[[11.88131748]]
video9_3.avi	[[10.75751193]]
video2_1.avi	[[12.3488569]]
video7_1.avi	[[7.62520271]]
video6_2.avi	[[12.87053664]]
video7_4.avi	[[10.05488569]]
video3_4.avi	[[10.45855664]]
video8_3.avi	[[10.78660854]]
video1_1.avi	[[9.47132458]]
video3_3.avi	[[11.35661435]]
video8_1.avi	[[12.78718194]]
video6_1.avi	[[12.96968061]]
video8_2.avi	[[11.34485993]]
video1_3.avi	[[11.74654305]]
video3_1.avi	[[11.85655218]]
video5_1.avi	[[12.45955934]]
video2_4.avi	[[10.24466548]]
video4_1.avi	[[13.47659032]]
video2_3.avi	[[10.70677341]]
video8_4.avi	[[10.30710355]]
video7_2.avi	[[9.54483347]]
video10_3.avi	[[9.76988938]]
video10_4.avi	[[9.53098266]]
